"zone_id","datum","uur","max_availability","avg_availability"
51937,2024-08-17,8,9,9
51937,2024-08-17,9,8,8
51937,2024-08-17,10,8,8
51937,2024-08-17,11,9,9
51937,2024-08-17,12,9,9
51937,2024-08-17,13,9,9
51937,2024-08-17,14,9,9
51937,2024-08-17,15,9,9
51937,2024-08-17,16,10,10
51937,2024-08-17,17,10,10
51937,2024-08-17,18,10,10
51937,2024-08-17,19,10,10
51937,2024-08-17,20,10,10
51937,2024-08-17,21,8,8
51937,2024-08-17,22,8,8
51937,2024-08-17,23,8,8
51937,2024-08-18,0,8,8
51937,2024-08-18,1,8,8
51937,2024-08-18,2,8,8
51937,2024-08-18,3,8,8
51937,2024-08-18,4,8,8
51937,2024-08-18,5,8,8
51937,2024-08-18,6,8,8
51937,2024-08-18,7,8,8
51937,2024-08-18,8,8,8
51937,2024-08-18,9,6,6
51937,2024-08-18,10,6,6
51937,2024-08-18,11,5,5
51937,2024-08-18,12,5,5
51937,2024-08-18,13,5,5
51937,2024-08-18,14,4,4
51937,2024-08-18,15,4,4
51937,2024-08-18,16,4,4
51937,2024-08-18,17,5,5
51937,2024-08-18,18,5,5
51937,2024-08-18,19,5,5
51937,2024-08-18,20,5,5
51937,2024-08-18,21,5,5
51937,2024-08-18,22,5,5
51937,2024-08-18,23,5,5
51937,2024-08-19,0,5,5
51937,2024-08-19,1,5,5
51937,2024-08-19,2,5,5
51937,2024-08-19,3,5,5
51937,2024-08-19,4,5,5
51937,2024-08-19,5,5,5
51937,2024-08-19,6,5,5
51937,2024-08-19,7,5,5
51937,2024-08-19,8,6,6
51937,2024-08-19,9,6,6
51937,2024-08-19,10,5,5
51937,2024-08-19,11,5,5
51937,2024-08-19,12,5,5
51937,2024-08-19,13,5,5
51937,2024-08-19,14,5,5
51937,2024-08-19,15,5,5
51937,2024-08-19,16,5,5
51937,2024-08-19,17,5,5
51937,2024-08-19,18,6,6
51937,2024-08-19,19,6,6
51937,2024-08-19,20,6,6
51937,2024-08-19,21,5,5
51937,2024-08-19,22,5,5
51937,2024-08-19,23,5,5
51937,2024-08-20,0,4,4
51937,2024-08-20,1,4,4
51937,2024-08-20,2,4,4
51937,2024-08-20,3,4,4
51937,2024-08-20,4,4,4
51937,2024-08-20,5,4,4
51937,2024-08-20,6,4,4
51937,2024-08-20,7,4,4
51937,2024-08-20,8,4,4
51937,2024-08-20,9,4,4
51937,2024-08-20,10,4,4
