name,WKT
Metro Prinsenlaan no-park,"POLYGON((4.554509248 51.94012617, 4.55445695 51.94049694, 4.55594091 51.942012229, 4.55630046 51.942165367, 4.556457354 51.942137157, 4.558712712 51.941435941, 4.558784622 51.941294891, 4.558666951 51.939944814, 4.557542541 51.939257669, 4.557176454 51.939112582, 4.554509248 51.94012617))"
Grindweg no-park,"POLYGON((4.495457208 51.963424691, 4.496210158 51.963096732, 4.495015824 51.958961036, 4.494275855 51.95914503, 4.495457208 51.963424691))"
Ganzerikplein no-park,"POLYGON((4.469634916 51.959956628, 4.472792095 51.960247789, 4.473550964 51.959788989, 4.473679828 51.958791965, 4.473092779 51.957891977, 4.470816174 51.957843448, 4.470157533 51.958086094, 4.469463097 51.959656642, 4.469634916 51.959956628))"
Noorderhelling no-park,"POLYGON((4.529933624 51.894383729, 4.530729521 51.895202318, 4.535196578 51.895750985, 4.535526409 51.895622668, 4.535497728 51.894976654, 4.53526828 51.894839485, 4.53010571 51.894051864, 4.529933624 51.894383729))"
Stadionlaan no-park,"POLYGON((4.528473302 51.891436863, 4.528336323 51.891805749, 4.529257814 51.893550231, 4.529780823 51.893872991, 4.532458128 51.893035347, 4.532657369 51.892074727, 4.531922667 51.890998807, 4.531636257 51.890868158, 4.528473302 51.891436863))"
Jan Bijloostraat (Winkelcentrum Lage Land) no-park,"POLYGON((4.545822555 51.943106507, 4.547205547 51.942905064, 4.548962006 51.942261157, 4.548962006 51.942221587, 4.547923303 51.941070444, 4.547514824 51.940710706, 4.547223053 51.94056681, 4.546568718 51.940399572, 4.544129696 51.941234903, 4.544072036 51.941593913, 4.544568382 51.942232886, 4.545472025 51.942965652, 4.545822555 51.943106507))"
Winkelhart Katendrechtse Lagedijk no-park,"POLYGON((4.477962204 51.891939711, 4.478498012 51.892058753, 4.479848247 51.892177794, 4.48178787 51.891027048, 4.481680708 51.890656686, 4.480148299 51.89001516, 4.478315837 51.890008546, 4.477447829 51.890226798, 4.477383532 51.890583936, 4.477662152 51.891417246, 4.477962204 51.891939711))"
Piet van der Polsingel no-park,"POLYGON((4.516221584 51.950471833, 4.517962344 51.95208608, 4.518275932 51.952225664, 4.521040149 51.951162668, 4.521080799 51.951101822, 4.519849677 51.949587812, 4.519541897 51.949330103, 4.519268936 51.949245813, 4.51768229 51.949520113, 4.51621819 51.950120388, 4.516221584 51.950471833))"
Heemraadsplein no-park,"POLYGON((4.45273194 51.911647477, 4.452946516 51.911303321, 4.45595059 51.910912833, 4.456272456 51.911051821, 4.457656475 51.912547565, 4.457592102 51.912911566, 4.455360505 51.913666032, 4.454974266 51.913593233, 4.453364941 51.912878475, 4.45273194 51.911647477))"
Willem Ruys/Metro Gerdesiaweg no-park,"POLYGON((4.510393255 51.926486636, 4.510108385 51.926406786, 4.509978899 51.926326935, 4.507686994 51.924290694, 4.507492765 51.923987247, 4.505006631 51.925392671, 4.504281509 51.925839843, 4.504307406 51.926239099, 4.506469825 51.927085511, 4.507026615 51.927037601, 4.509991848 51.926750142, 4.510328512 51.926742157, 4.511588364 51.926469878, 4.510393255 51.926486636))"
Ellemare no-park,"POLYGON((4.490383226 51.871630093, 4.494156838 51.871878821, 4.494419922 51.86968591, 4.490695638 51.86949301, 4.490383226 51.871630093))"
Lusthofkwartier no-park,"POLYGON((4.50631202 51.921828633, 4.509969313 51.921019557, 4.511546189 51.923520289, 4.511797959 51.923642871, 4.512990555 51.925587783, 4.512354504 51.926069912, 4.512102734 51.926233344, 4.511850964 51.926372262, 4.511638947 51.926445806, 4.510419849 51.926478492, 4.510141577 51.926396776, 4.509995815 51.92631506, 4.508763466 51.92520371, 4.508021407 51.924558134, 4.50769013 51.924272116, 4.50631202 51.921828633))"
